@RELATION restaurant-100-problem
@ATTRIBUTE class {willwait, wontwait}
@ATTRIBUTE alternate {yes, no}
@ATTRIBUTE bar {yes, no}
@ATTRIBUTE fri/sat {yes, no}
@ATTRIBUTE hungry {yes, no}
@ATTRIBUTE patrons {none, some, full}
@ATTRIBUTE price {D, DD, DDD}
@ATTRIBUTE raining {yes, no}
@ATTRIBUTE reservation {yes, no}
@ATTRIBUTE type {french, italian, thai, burger}
@ATTRIBUTE waitestimate {0, 10, 30, 60} % in minutes

@DATA
 wontwait, no, no, no, yes, none, DDD, no, yes, thai, 0
 willwait, yes, yes, no, yes, some, DDD, no, no, thai, 0
 willwait, yes, no, yes, yes, some, DD, no, no, thai, 10
 willwait, yes, no, no, yes, some, D, yes, no, italian, 0
 wontwait, no, no, no, no, none, DDD, no, no, french, 60
 wontwait, no, yes, yes, no, full, DDD, yes, no, burger, 60
 wontwait, yes, yes, no, yes, none, DDD, no, yes, french, 60
 wontwait, yes, yes, yes, no, full, DDD, no, no, thai, 60
 willwait, yes, no, yes, yes, some, DDD, no, yes, burger, 10
 wontwait, yes, yes, no, yes, none, DDD, no, yes, burger, 10
 wontwait, no, no, no, no, full, DDD, no, no, burger, 10
 willwait, yes, no, yes, yes, full, D, yes, yes, french, 30
 willwait, yes, yes, no, yes, some, DD, yes, no, italian, 10
 willwait, no, no, yes, yes, some, DDD, no, yes, burger, 10
 wontwait, no, no, no, yes, full, DD, yes, no, burger, 60
 wontwait, yes, no, no, yes, none, DD, yes, yes, french, 10
 willwait, yes, no, yes, no, some, D, yes, yes, thai, 30
 willwait, yes, yes, no, yes, some, D, no, yes, thai, 10
 wontwait, yes, no, no, no, full, D, no, no, thai, 60
 willwait, no, yes, yes, no, some, DD, yes, yes, burger, 10
 willwait, no, no, no, yes, full, DDD, no, no, burger, 0
 willwait, no, no, no, no, some, D, yes, yes, thai, 10
 wontwait, yes, yes, yes, no, full, DDD, yes, yes, french, 60
 wontwait, yes, no, no, no, none, DDD, yes, no, burger, 0
 wontwait, no, yes, yes, no, none, DD, no, no, thai, 0
 willwait, no, yes, yes, yes, some, DD, no, no, thai, 60
 willwait, no, yes, yes, no, some, D, yes, no, thai, 60
 willwait, yes, no, yes, yes, full, DD, yes, yes, french, 30
 wontwait, no, no, no, yes, none, DDD, no, yes, french, 0
 wontwait, yes, no, no, yes, full, D, yes, yes, burger, 30
 willwait, no, no, yes, yes, some, D, no, yes, french, 60
 willwait, no, yes, yes, yes, full, DDD, no, yes, french, 0
 wontwait, no, no, no, yes, none, DD, yes, yes, french, 0
 wontwait, yes, no, no, no, none, DD, yes, yes, italian, 30
 wontwait, yes, yes, no, yes, none, DDD, no, yes, french, 0
 wontwait, no, no, yes, no, full, D, no, no, burger, 30
 wontwait, yes, yes, yes, no, full, DDD, yes, yes, thai, 10
 wontwait, no, yes, yes, no, none, D, yes, no, italian, 0
 wontwait, no, yes, yes, no, none, DDD, yes, no, thai, 60
 wontwait, no, no, yes, no, none, DDD, no, no, french, 60
 wontwait, no, no, no, yes, none, D, yes, yes, french, 10
 wontwait, no, yes, yes, no, none, DDD, no, no, burger, 30
 willwait, no, yes, yes, no, full, D, yes, yes, italian, 0
 wontwait, no, yes, no, yes, full, DDD, yes, no, thai, 60
 willwait, no, no, yes, no, full, DDD, no, yes, burger, 30
 willwait, no, no, yes, yes, full, D, yes, yes, burger, 0
 willwait, yes, no, yes, no, full, DDD, no, yes, french, 30
 willwait, no, no, yes, yes, some, DD, no, no, french, 60
 willwait, no, no, no, yes, some, DD, yes, yes, burger, 30
 willwait, no, yes, no, yes, full, DDD, no, no, burger, 10
 willwait, yes, no, yes, no, full, D, no, no, burger, 0
 wontwait, yes, yes, yes, no, none, DD, yes, no, french, 30
 willwait, yes, no, yes, yes, some, D, yes, yes, thai, 0
 willwait, no, no, no, yes, some, DD, yes, no, burger, 60
 wontwait, no, no, no, no, none, DD, yes, no, thai, 60
 wontwait, yes, no, yes, no, full, D, yes, no, burger, 60
 willwait, no, yes, no, no, full, DD, no, no, burger, 30
 wontwait, yes, no, no, yes, none, D, no, yes, italian, 10
 wontwait, yes, yes, yes, no, none, DDD, yes, yes, burger, 0
 willwait, no, no, yes, no, some, D, yes, no, french, 0
 wontwait, no, no, yes, no, full, DD, yes, no, burger, 60
 willwait, no, no, no, no, some, DD, yes, yes, italian, 0
 wontwait, yes, no, no, yes, full, DD, yes, no, italian, 60
 willwait, no, no, no, yes, some, D, yes, no, thai, 0
 wontwait, no, yes, no, yes, none, D, yes, yes, thai, 0
 willwait, yes, yes, yes, no, some, DD, no, no, french, 60
 wontwait, no, yes, yes, no, full, DDD, yes, no, french, 60
 willwait, no, no, no, yes, some, DD, no, no, italian, 30
 wontwait, yes, yes, no, no, none, DDD, no, yes, italian, 0
 wontwait, yes, yes, yes, yes, full, DDD, no, no, italian, 10
 wontwait, yes, no, yes, no, full, D, no, no, italian, 60
 willwait, yes, yes, no, yes, some, DDD, no, no, italian, 10
 wontwait, yes, yes, no, no, none, D, no, no, burger, 30
 willwait, no, yes, yes, yes, full, DDD, no, yes, french, 10
 willwait, yes, no, no, yes, some, D, yes, yes, italian, 30
 willwait, yes, no, yes, yes, some, D, no, no, italian, 10
 wontwait, no, yes, yes, no, none, D, no, yes, italian, 10
 willwait, no, yes, yes, no, full, D, yes, no, italian, 30
 willwait, yes, yes, no, yes, some, D, no, yes, french, 30
 wontwait, no, yes, no, yes, none, DD, no, yes, italian, 30
 wontwait, yes, yes, no, no, none, DDD, no, yes, italian, 10
 wontwait, no, yes, no, yes, none, DD, no, no, italian, 0
 willwait, yes, yes, no, no, some, D, no, no, italian, 30
 willwait, no, no, yes, yes, some, DDD, no, yes, thai, 60
 wontwait, yes, no, yes, yes, none, DD, no, yes, italian, 30
 wontwait, yes, no, yes, no, none, D, yes, no, thai, 30
 willwait, yes, no, no, no, some, D, yes, yes, thai, 0
 wontwait, no, yes, yes, yes, none, DD, no, no, italian, 30
 willwait, yes, no, yes, no, some, D, yes, yes, thai, 30
 willwait, no, yes, no, yes, full, DDD, no, no, burger, 30
 wontwait, yes, yes, no, no, full, D, yes, no, italian, 60
 willwait, yes, yes, no, yes, some, DDD, no, no, french, 10
 willwait, no, yes, no, yes, some, DDD, yes, no, burger, 10
 wontwait, yes, no, no, no, none, DD, no, no, french, 10
 willwait, no, no, yes, yes, full, DD, no, no, french, 0
 willwait, no, no, no, no, some, DDD, yes, no, thai, 60
 wontwait, yes, yes, no, no, none, D, no, no, italian, 0
 willwait, yes, no, yes, yes, full, DD, no, yes, italian, 30
 wontwait, no, yes, no, no, full, DD, yes, no, french, 10
 wontwait, yes, yes, no, yes, none, DDD, no, yes, burger, 10

